Date,Close/Last,Volume,Open,High,Low
2/26/2021,$101.74 ,92194150,$117.46 ,$142.90 ,$86 
2/25/2021,$108.73 ,150308800,$169.56 ,$184.68 ,$101 
2/24/2021,$91.71 ,83111740,$44.70 ,$91.71 ,$44.70 
2/23/2021,$44.97 ,7565215,$44.97 ,$46.23 ,$40 
2/22/2021,$46 ,19476020,$46.69 ,$48.51 ,$42.40 
2/19/2021,$40.59 ,14828240,$41.28 ,$43.89 ,$38.50 
2/18/2021,$40.69 ,23990560,$48.49 ,$48.87 ,$40.65 
2/17/2021,$45.94 ,9260795,$49.77 ,$51.19 ,$44.56 
2/16/2021,$49.51 ,8175030,$52.66 ,$53.50 ,$49.04 
2/12/2021,$52.40 ,14573260,$50.75 ,$55.24 ,$48.05 
2/11/2021,$51.10 ,13056730,$50.01 ,$55.32 ,$48.22 
2/10/2021,$51.20 ,36455040,$50.77 ,$62.83 ,$46.55 
2/9/2021,$50.31 ,26843080,$56.61 ,$57 ,$46.52 
2/8/2021,$60 ,25687280,$72.41 ,$72.66 ,$58.02 
2/5/2021,$63.77 ,81345010,$54.04 ,$95 ,$51.09 
2/4/2021,$53.50 ,62427280,$91.19 ,$91.50 ,$53.33 
2/3/2021,$92.41 ,42698510,$112.01 ,$113.40 ,$85.25 
2/2/2021,$90 ,78183070,$140.76 ,$158 ,$74.22 
2/1/2021,$225 ,37382150,$316.56 ,$322 ,$212 
1/29/2021,$325 ,50566060,$379.71 ,$413.98 ,$250 
1/28/2021,$193.60 ,58815810,$265 ,$483 ,$112.25 
1/27/2021,$347.51 ,93396670,$354.83 ,$380 ,$249 
1/26/2021,$147.98 ,178588000,$88.56 ,$150 ,$80.20 
1/25/2021,$76.79 ,177874000,$96.73 ,$159.18 ,$61.13 
1/22/2021,$65.01 ,197157900,$42.59 ,$76.76 ,$42.32 
1/21/2021,$43.03 ,57079750,$39.23 ,$44.75 ,$37 
1/20/2021,$39.12 ,33471790,$37.37 ,$41.19 ,$36.06 
1/19/2021,$39.36 ,74721920,$41.55 ,$45.52 ,$36.64 
1/15/2021,$35.50 ,46866360,$38.49 ,$40.75 ,$34.01 
1/14/2021,$39.91 ,93717410,$38.09 ,$43.06 ,$33.05 
1/13/2021,$31.40 ,144501700,$20.42 ,$38.65 ,$20.03 
1/12/2021,$19.95 ,7060665,$19.96 ,$20.40 ,$19.32 
1/11/2021,$19.94 ,14927610,$19.41 ,$20.65 ,$19.01 
1/8/2021,$17.69 ,6481960,$18.18 ,$18.30 ,$17.08 
1/7/2021,$18.08 ,6129276,$18.47 ,$19.45 ,$18.02 
1/6/2021,$18.36 ,6056248,$17.34 ,$18.98 ,$17.33 
1/5/2021,$17.37 ,4961457,$17.35 ,$18.08 ,$17.23 
1/4/2021,$17.25 ,10022470,$19 ,$19.10 ,$17.15 
